#{"t_start": 1733894806.5660336, "env_id": "metaworld/drawer-open-v2"}
r,l,t
492.322426,500,1.977118
405.740946,500,3.948235
426.30836,500,5.920608
456.008665,500,7.87177
466.917556,500,9.735343
618.933807,500,11.576915
644.617779,500,13.602467
380.746014,500,15.563807
405.68059,500,17.432294
402.690974,500,19.261683
414.954308,500,21.073323
424.927956,500,23.088459
1014.976085,500,24.986684
851.393672,500,26.800924
1041.000631,500,28.65834
1451.934462,500,30.521053
429.325213,500,32.323146
441.273764,500,34.148342
539.882311,500,35.955846
494.855117,500,37.75522
